"Time period","England Value","95% confidence interval lower limit","95% confidence interval upper limit"
"1993","14.9","NA","NA"
"1994","15.7","NA","NA"
"1995","16.4","NA","NA"
"1996","17.5","NA","NA"
"1997","18.4","NA","NA"
"1998","19.4","NA","NA"
"1999","20.0","NA","NA"
"2000","21.2","NA","NA"
"2001","22.4","NA","NA"
"2002","22.5","NA","NA"
"2003","22.6","NA","NA"
"2004","22.9","NA","NA"
"2005","23.2","NA","NA"
"2006","23.9","NA","NA"
"2007","24.0","NA","NA"
"2008","24.5","NA","NA"
"2009","23.0","NA","NA"
"2010","26.1","NA","NA"
"2011","24.8","NA","NA"
"2012","24.7","NA","NA"
"2013","24.9","NA","NA"
"2014","25.6","NA","NA"
"2015","26.9","NA","NA"
"2016","26.2","NA","NA"
"2017","28.7","27.4","30.1"
"2018","27.7","26.5","29.0"
"2019","28.0","26.7","29.4"
"2020","NA","NA","NA"
"2021","NA","NA","NA"
"2022","28.9","27.2","30.6"
